BSE_Code,Company_Name,BSE_Verified,NSE_Code,Sector,Industry
532525,Bank of maharashtra,532525,MAHABANK,Financial Services,Financial Services
542830,Indian Railway Catering & Tourism Corporation Ltd,542830,IRCTC,Consumer Discretionary,Consumer Services
526299,Mphasis Limited,526299,MPHASIS,Information Technology,Information Technology
532892,Motilal Oswal Financial Services Limited,532892,MOTILALOFS,Financial Services,Financial Services
523642,PI Industries Limited,523642,PIIND,Commodities,Chemicals
532720,Mahindra & Mahindra Financial Services Limited,532720,M&,Financial Services,Financial Services
500483,Tata Communications Limited,500483,TATACOMM,Telecommunication,Telecommunication
513599,Hindustan Copper Ltd.,513599,HINDCOPPER,Commodities,Metals & Mining
509930,Supreme Industries Ltd.,509930,SUPREMEIND,Industrials,Capital Goods
500575,Voltas Ltd.,500575,VOLTAS,Consumer Discretionary,Consumer Durables
543278,Kalyan Jewellers India Limited,543278,KALYANKJIL,Consumer Discretionary,Consumer Durables
502355,Balkrishna Industries Ltd.,502355,BALKRISIND,Consumer Discretionary,Automobile and Auto Components
542772,360 ONE WAM LIMITED,542772,360ONE,Financial Services,Financial Services
539177,Authum Investment & Infrastructure Limited,539177,AIIL,Financial Services,Financial Services
